Freq.	V(vout)
1.00809160936429e-002	(-6.39809619351136e+001dB,1.77108473246593e+002°)
1.00832375776155e-002	(-6.39769644653398e+001dB,1.77107807651224e+002°)
1.00855595961910e-002	(-6.39729669967308e+001dB,1.77107141902772e+002°)
1.00878821494927e-002	(-6.39689695292870e+001dB,1.77106476001202e+002°)
1.00902052376435e-002	(-6.39649720630090e+001dB,1.77105809946478e+002°)
1.00925288607668e-002	(-6.39609745978974e+001dB,1.77105143738565e+002°)
1.00948530189857e-002	(-6.39569771339526e+001dB,1.77104477377429e+002°)
1.00971777124234e-002	(-6.39529796711753e+001dB,1.77103810863033e+002°)
1.00995029412032e-002	(-6.39489822095660e+001dB,1.77103144195344e+002°)
1.01018287054483e-002	(-6.39449847491251e+001dB,1.77102477374325e+002°)
1.01041550052821e-002	(-6.39409872898533e+001dB,1.77101810399942e+002°)
1.01064818408279e-002	(-6.39369898317511e+001dB,1.77101143272159e+002°)
1.01088092122091e-002	(-6.39329923748189e+001dB,1.77100475990941e+002°)
1.01111371195490e-002	(-6.39289949190575e+001dB,1.77099808556253e+002°)
1.01134655629712e-002	(-6.39249974644672e+001dB,1.77099140968060e+002°)
1.01157945425989e-002	(-6.39210000110486e+001dB,1.77098473226326e+002°)
1.01181240585558e-002	(-6.39170025588023e+001dB,1.77097805331017e+002°)
1.01204541109654e-002	(-6.39130051077288e+001dB,1.77097137282096e+002°)
1.01227846999511e-002	(-6.39090076578287e+001dB,1.77096469079530e+002°)
1.01251158256365e-002	(-6.39050102091024e+001dB,1.77095800723282e+002°)
1.01274474881453e-002	(-6.39010127615506e+001dB,1.77095132213317e+002°)
1.01297796876010e-002	(-6.38970153151737e+001dB,1.77094463549601e+002°)
1.01321124241273e-002	(-6.38930178699724e+001dB,1.77093794732097e+002°)
1.01344456978479e-002	(-6.38890204259471e+001dB,1.77093125760771e+002°)
1.01367795088864e-002	(-6.38850229830983e+001dB,1.77092456635587e+002°)
1.01391138573667e-002	(-6.38810255414268e+001dB,1.77091787356510e+002°)
1.01414487434125e-002	(-6.38770281009328e+001dB,1.77091117923504e+002°)
1.01437841671476e-002	(-6.38730306616171e+001dB,1.77090448336535e+002°)
1.01461201286958e-002	(-6.38690332234802e+001dB,1.77089778595567e+002°)
1.01484566281809e-002	(-6.38650357865225e+001dB,1.77089108700565e+002°)
1.01507936657269e-002	(-6.38610383507447e+001dB,1.77088438651493e+002°)
1.01531312414576e-002	(-6.38570409161473e+001dB,1.77087768448315e+002°)
1.01554693554969e-002	(-6.38530434827307e+001dB,1.77087098090998e+002°)
1.01578080079689e-002	(-6.38490460504957e+001dB,1.77086427579504e+002°)
1.01601471989976e-002	(-6.38450486194427e+001dB,1.77085756913800e+002°)
1.01624869287069e-002	(-6.38410511895722e+001dB,1.77085086093849e+002°)
1.01648271972209e-002	(-6.38370537608848e+001dB,1.77084415119616e+002°)
1.01671680046637e-002	(-6.38330563333811e+001dB,1.77083743991067e+002°)
1.01695093511594e-002	(-6.38290589070616e+001dB,1.77083072708164e+002°)
1.01718512368321e-002	(-6.38250614819268e+001dB,1.77082401270873e+002°)
1.01741936618060e-002	(-6.38210640579772e+001dB,1.77081729679159e+002°)
1.01765366262053e-002	(-6.38170666352135e+001dB,1.77081057932986e+002°)
1.01788801301542e-002	(-6.38130692136362e+001dB,1.77080386032319e+002°)
1.01812241737769e-002	(-6.38090717932458e+001dB,1.77079713977121e+002°)
1.01835687571978e-002	(-6.38050743740428e+001dB,1.77079041767359e+002°)
1.01859138805411e-002	(-6.38010769560279e+001dB,1.77078369402996e+002°)
1.01882595439312e-002	(-6.37970795392015e+001dB,1.77077696883997e+002°)
1.01906057474924e-002	(-6.37930821235642e+001dB,1.77077024210326e+002°)
1.01929524913492e-002	(-6.37890847091165e+001dB,1.77076351381948e+002°)
1.01952997756259e-002	(-6.37850872958591e+001dB,1.77075678398828e+002°)
1.01976476004471e-002	(-6.37810898837924e+001dB,1.77075005260929e+002°)
1.01999959659371e-002	(-6.37770924729169e+001dB,1.77074331968217e+002°)
1.02023448722206e-002	(-6.37730950632333e+001dB,1.77073658520656e+002°)
1.02046943194219e-002	(-6.37690976547421e+001dB,1.77072984918210e+002°)
1.02070443076658e-002	(-6.37651002474439e+001dB,1.77072311160844e+002°)
1.02093948370767e-002	(-6.37611028413391e+001dB,1.77071637248522e+002°)
1.02117459077794e-002	(-6.37571054364284e+001dB,1.77070963181209e+002°)
1.02140975198984e-002	(-6.37531080327122e+001dB,1.77070288958869e+002°)
1.02164496735585e-002	(-6.37491106301912e+001dB,1.77069614581467e+002°)
1.02188023688843e-002	(-6.37451132288658e+001dB,1.77068940048967e+002°)
1.02211556060006e-002	(-6.37411158287367e+001dB,1.77068265361334e+002°)
1.02235093850322e-002	(-6.37371184298044e+001dB,1.77067590518531e+002°)
1.02258637061038e-002	(-6.37331210320694e+001dB,1.77066915520524e+002°)
1.02282185693404e-002	(-6.37291236355322e+001dB,1.77066240367276e+002°)
1.02305739748666e-002	(-6.37251262401936e+001dB,1.77065565058753e+002°)
1.02329299228074e-002	(-6.37211288460539e+001dB,1.77064889594918e+002°)
1.02352864132878e-002	(-6.37171314531137e+001dB,1.77064213975736e+002°)
1.02376434464327e-002	(-6.37131340613736e+001dB,1.77063538201171e+002°)
1.02400010223669e-002	(-6.37091366708342e+001dB,1.77062862271188e+002°)
1.02423591412156e-002	(-6.37051392814959e+001dB,1.77062186185750e+002°)
1.02447178031037e-002	(-6.37011418933594e+001dB,1.77061509944823e+002°)
1.02470770081563e-002	(-6.36971445064253e+001dB,1.77060833548371e+002°)
1.02494367564986e-002	(-6.36931471206939e+001dB,1.77060156996357e+002°)
1.02517970482555e-002	(-6.36891497361660e+001dB,1.77059480288747e+002°)
1.02541578835522e-002	(-6.36851523528420e+001dB,1.77058803425504e+002°)
1.02565192625140e-002	(-6.36811549707225e+001dB,1.77058126406594e+002°)
1.02588811852659e-002	(-6.36771575898081e+001dB,1.77057449231979e+002°)
1.02612436519333e-002	(-6.36731602100993e+001dB,1.77056771901625e+002°)
1.02636066626414e-002	(-6.36691628315967e+001dB,1.77056094415495e+002°)
1.02659702175154e-002	(-6.36651654543008e+001dB,1.77055416773555e+002°)
1.02683343166808e-002	(-6.36611680782123e+001dB,1.77054738975767e+002°)
1.02706989602627e-002	(-6.36571707033315e+001dB,1.77054061022098e+002°)
1.02730641483867e-002	(-6.36531733296592e+001dB,1.77053382912510e+002°)
1.02754298811780e-002	(-6.36491759571958e+001dB,1.77052704646968e+002°)
1.02777961587622e-002	(-6.36451785859419e+001dB,1.77052026225436e+002°)
1.02801629812646e-002	(-6.36411812158980e+001dB,1.77051347647878e+002°)
1.02825303488108e-002	(-6.36371838470648e+001dB,1.77050668914259e+002°)
1.02848982615264e-002	(-6.36331864794428e+001dB,1.77049990024543e+002°)
1.02872667195367e-002	(-6.36291891130325e+001dB,1.77049310978694e+002°)
